1,1,2,2,Italian opening - Giuoco pianissimo,Blitz 3|2,1
2,2,1,2,Scandinavian defense,Blitz 3|2,1
3,2,3,2,Sicilian defense - Kalashnikov variation,Blitz 3|2,1
4,3,2,2,Grünfeld defense,Blitz 3|2,1
5,2,3,2,Sicilian defense - Kalashnikov variation,Blitz 3|2,1
6,3,2,2,Grünfeld defense,Blitz 3|2,1
7,1,4,1,Caro-Kann defense,Blitz 3|2,1
8,4,1,4,Bird opening,Blitz 3|2,1
9,1,2,2,Italian opening,Blitz 3|2,2
10,2,1,2,Scandinavian defense,Blitz 3|2,2
11,2,3,2,Queens gambit declined - Ragozin variation,Blitz 3|2,1
12,20,3,3,Sicilian defense - Rossolimo variation,Blitz 3|2,1
13,3,20,3,Four knights game - Spanish variation,Blitz 3|2,1
14,1,21,1,Italian opening,Blitz 3|2,2
15,21,1,1,Scotch game - Mainline,Blitz 3|2,2
16,1,41,41,Italian opening,Blitz 3|2,1
17,41,1,0,Scandinavian defense,Blitz 3|2,1
18,3,34,34,Nimzo-Larsen opening,Blitz 3|2,1
19,3,34,3,Nimzo-Larsen opening,Blitz 3|2,1
20,34,3,34,English opening,Blitz 3|2,1
21,2,9,0,Kings Indian defense,Blitz 3|2,1
22,5,3,3,Sicilian defense - Rossolimo variation,Blitz 3|2,1
23,5,3,3,Sicilian defense - Rossolimo variation,Blitz 3|2,1
24,3,9,3,Reti opening,Blitz 5|3,1
25,1,18,1,Sicilian defense,Blitz 3|2,1
26,18,1,18,Scandinavian defense,Blitz 3|2,1
27,1,18,1,Italian opening,Blitz 5|3,1
28,18,1,18,English opening,Blitz 3|2,1
29,1,18,1,Scotch game,Blitz 3|2,1
30,25,3,25,Sicilian defense - Smith Morra gambit,Blitz 3|2,1
31,5,25,5,Italian opening,Blitz 3|2,2
32,2,20,2,Queens gambit - Semi-slav defense,Blitz 3|2,1
33,20,2,0,Sicilian defense - Rossolimo variation,Blitz 3|2,1
34,20,2,20,Sicilian defense - Najdorf variation,Blitz 3|2,1
35,3,35,3,Nimzo-Larsen opening,Blitz 3|2,1
36,35,3,3,Polish attack,Blitz 3|2,1
37,26,2,26,Sicilian defense - Kalashnikov variation,Blitz 3|2,1
38,47,3,47,Sicilian defense - Rossolimo variation,Blitz 3|2,1
39,47,20,47,Ruy Lopez - Mainline,Blitz 3|2,1
40,3,46,3,Sicilian defense - Alapin variation,Blitz 3|2,1
41,46,3,3,Sicilian defense - Kalashnikov variation,Blitz 3|2,1
42,46,3,3,Sicilian defense - Kalashnikov variation,Blitz 3|2,1
43,46,2,2,Sicilian defense - Kalashnikov variation,Blitz 3|2,1
44,2,46,2,Sicilian defense - Najdorf variation,Blitz 3|2,1
45,34,2,0,Sicilian defense - Kalashnikov variation,Blitz 3|2,2
46,2,34,2,Queens gambit declined - Exchange variation,Blitz 5|3,2
47,34,2,34,Reti opening,Blitz 5|3,2
48,25,1,25,Scandinavian defense,Blitz 3|2,2
49,1,25,25,Italian opening,Blitz 3|2,2
50,25,41,41,Scandinavian defense,Blitz 3|2,2
51,41,25,25,Italian opening,Blitz 3|2,2
52,25,41,25,Petrov defense - Stafford Gambit,Blitz 3|2,2
53,46,1,46,Scandinavian defense,Blitz 3|2,2
54,1,30,30,Sicilian defense,Blitz 3|2,2
55,46,2,2,Ruy Lopez - Mainline,Blitz 3|2,2
56,2,46,2,Sicilian defense - Najdorf variation,Blitz 3|2,2
57,46,2,46,Sicilian defense - Kalashnikov variation,Blitz 3|2,2
58,2,46,46,English opening - Symmetrical english,Blitz 3|2,2
59,46,2,46,Sicilian defense - Smith Morra gambit,Blitz 3|2,2
60,24,1,24,Caro-Kann defense,Blitz 3|2,2
61,24,1,1,Scandinavian defense,Blitz 3|2,2
62,2,35,2,Queens gambit accepted,Blitz 3|2,2
63,35,2,35,Polish attack,Blitz 3|2,2
64,31,2,31,Kings gambit,Blitz 3|2,2
65,2,31,31,Kings Indian defense,Blitz 3|2,2
66,31,2,2,Grünfeld defense,Blitz 3|2,2
67,1,13,13,Sicilian defense,Blitz 3|2,4
68,21,39,39,Alekhine defense,Blitz 3|2,4
69,2,11,11,Kings Indian defense,Blitz 3|2,4
70,26,24,26,Ruy Lopez - Exchange variation,Blitz 3|2,4
71,25,9,9,Matsuo defense,Blitz 3|2,4
72,39,12,12,Queens gambit - Slav defense,Blitz 3|2,4
73,3,9,9,Kings Indian attack,Blitz 3|2,4
74,24,2,2,Polish attack,Blitz 3|2,4
75,21,1,1,Scandinavian defense,Blitz 3|2,4
76,22,23,23,Center game,Blitz 3|2,4
77,11,26,26,Scotch game,Blitz 3|2,4
78,12,3,3,Sicilian defense - Bowdler attack,Blitz 3|2,4
79,1,11,1,Caro-Kann defense,Blitz 3|2,4
80,9,26,9,Matsuo attack,Blitz 3|2,4
81,2,39,2,Queens gambit - Cambridge Springs variation,Blitz 3|2,4
82,24,23,23,Bongcloud,Blitz 3|2,4
83,23,26,26,Scotch game - Mainline,Blitz 3|2,4
84,12,2,2,Vienna game - Frankenstein-Dracula Variation,Blitz 3|2,4
85,11,23,11,Scotch game,Blitz 3|2,4
86,9,1,1,Matsuo attack,Blitz 3|2,4
87,26,3,3,Sicilian defense - Rossolimo variation,Blitz 3|2,4
88,39,25,25,Kings Indian defense,Blitz 3|2,4
89,22,39,39,Alekhine defense,Blitz 3|2,4
90,3,25,25,Four knights game - Spanish variation,Blitz 3|2,4
91,39,25,39,Queens gambit - Slav defense,Blitz 3|2,4
92,11,12,0,Sicilian defense - Alapin variation,Blitz 3|2,4
93,2,9,9,Grob opening,Blitz 3|2,4
94,3,2,0,Sicilian defense - Rossolimo variation,Blitz 3|2,4
95,1,39,39,Alekhine defense,Blitz 3|2,4
96,9,11,9,Matsuo attack,Blitz 3|2,4
97,25,26,25,Scandinavian defense,Blitz 3|2,4
98,21,24,24,Scotch game - Mainline,Blitz 3|2,4
99,39,3,39,Queens gambit - Slav defense,Blitz 3|2,4
100,12,9,12,Matsuo defense,Blitz 3|2,4
101,26,22,22,Matsuo attack,Blitz 3|2,4
102,24,1,24,Sodium attack,Blitz 3|2,4
103,25,2,2,Sicilian defense - Smith Morra gambit,Blitz 3|2,4
